category_sk,category_id,category_name
cf4f40bde95f41c0a800888f2915d7db,TRAVEL_AND_LOCAL,Travel & Local
bc2b872c7d3221edd3266972ce0e93f7,SHOPPING,Shopping
65fe55e3801a7036f00d6e15acc72475,FINANCE,Finance
97039bd4f74e6d82eb57abe0178e6938,EDUCATION,Education
4f18629bdf4667a43e8a3422bcf7095c,MUSIC_AND_AUDIO,Music & Audio
124f71327e0b6686ec9acf8336784424,BUSINESS,Business
a35815bdd9a2f0f0090192666532fbcb,NEWS_AND_MAGAZINES,News & Magazines
3f27148a0073e6705ee8277dc392ab7d,COMMUNICATION,Communication
e16b95b6f0a088d2efe7477546ba52d9,SOCIAL,Social
6b133b8d9f60b0c1acec359ebc67b134,MAPS_AND_NAVIGATION,Maps & Navigation
30745c1ec37b7320355b5b1750b98f84,ENTERTAINMENT,Entertainment
edf0fc44059ce15b24bee0b3a19b8704,VIDEO_PLAYERS,Video Players & Editors
